,Energi (kal),Protein (g),Lemak (g),Karbo (g)
apel,58,0.3,0.4,14.9
pisang,127,1.4,0.2,33.6
semangka,28,0.5,0.2,6.9
bayam,16,0.9,0.4,2.9
brokoli,34,2.82,0.37,6.64
jagung,147,5.1,0.7,31.5
kentang,133,1.0,0.2,32.2
kol,25,2.4,0.2,4.9
labu kuning,51,1.7,0.5,10.0
paprika,20,0.86,0.17,4.64
timun,15,0.65,0.11,3.63
wortel,36,1.0,0.6,7.9
tomat,24,1.3,0.5,4.7
tempe,150,14.0,7.7,9.1
telur,174,10.8,14.0,1.2
daging ayam,298,18.2,25.0,0.0
daging sapi,273,17.5,22.0,0.0
ikan nila,96,20.08,1.7,0.0
udang,91,21.0,0.2,0.1
beras,357,8.4,1.7,77.1
nasi putih,180,3.0,0.3,39.8
